conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1971960971506913543,Sat Sep 27 15:31:47 +0000 2025,0,Beban Kerja Berlebihan: Memicu Insomnia atau Sebaliknya? https://t.co/KcTFC7Y6k2 #sayangitubuh #insomnia #sudahtidur #lembur #larutmalam jaimin malming haye pelatih emyu persib belanda kakang,1971960971506913543,,,in,,0,0,0,https://x.com/undefined/status/1971960971506913543,2887293560,
1971950012394623067,Sat Sep 27 14:48:14 +0000 2025,0,Mainmu koyok EMYU jap Lemess https://t.co/1DLEdoJqj3,1971950012394623067,https://pbs.twimg.com/ext_tw_video_thumb/1971949906081599489/pu/img/bgLFJV9EsAp7Zuuo.jpg,,in,,0,0,0,https://x.com/undefined/status/1971950012394623067,2333577300,
1971602226096554159,Sat Sep 27 14:23:11 +0000 2025,0,@icijisa udah insomnia,1971943706791125131,,icijisa,in,,0,0,0,https://x.com/undefined/status/1971943706791125131,1463423683645476864,
1971943234097369486,Sat Sep 27 14:21:18 +0000 2025,0,Jidatku breakout ga berenti2 sepanjang sejarah Kerjaannya: Begadang jamal Pas di rumah jd insomnia Stress Kek mana obantnya terus,1971943234097369486,,,in,,0,0,0,https://x.com/undefined/status/1971943234097369486,266988223,
1971875190947959021,Sat Sep 27 14:19:09 +0000 2025,0,@Alterrrrr_Ego Bisa bikin insomnia nih,1971942693959049523,,Alterrrrr_Ego,in,,0,1,0,https://x.com/undefined/status/1971942693959049523,849985783830265857,
1971938164425245065,Sat Sep 27 14:01:09 +0000 2025,0,Obat Sakit Kepala Stress Depresi dan Insomnia. https://t.co/7012QzbVFj,1971938164425245065,https://pbs.twimg.com/media/G127T3pb0AEtXvf.jpg,,in,,0,0,0,https://x.com/undefined/status/1971938164425245065,1803684358416666624,
1971783136116887735,Sat Sep 27 13:11:45 +0000 2025,0,@medeplicht anosmia ama anemia ama amnesia ama insomnia sodaraan ya,1971925728838271301,,medeplicht,in,,0,1,0,https://x.com/undefined/status/1971925728838271301,1482891481941950467,
1971842297789845684,Sat Sep 27 13:05:21 +0000 2025,0,@primerosies Reply. : Lebih tepatnya insomnia aku kumat lagi. : Cakepan yang mana? : Btw kamu rapih gitu abis darimana? Sent.,1971924121236930947,,primerosies,in,,0,1,0,https://x.com/undefined/status/1971924121236930947,2349440971,
1971894986108293472,Sat Sep 27 11:17:14 +0000 2025,0,@woolynqs GOALS DIA AMPE DIUNDANG KE LAPOR PAK TERUS COLLAB SAMA ANDIKA DAN DIUNDANG KE ARISAN SAMA SURYA INSOMNIA JOSSGAWIN INVINCIBLE #JossGawinFancon,1971896912501788800,,woolynqs,in,,0,1,0,https://x.com/undefined/status/1971896912501788800,1809532029689819136,
1971840430946873573,Sat Sep 27 11:13:20 +0000 2025,0,@moviemnfs insomnia (2002)!! agak mirip2 vibesnya menurut gw,1971895928245440849,,moviemnfs,in,,0,0,0,https://x.com/undefined/status/1971895928245440849,1474630669468798977,
1971840430946873573,Sat Sep 27 10:47:35 +0000 2025,3,@moviemnfs Insomnia filmnya Sir Christopher Nolan,1971889450117693659,,moviemnfs,in,,0,0,0,https://x.com/undefined/status/1971889450117693659,1758992893023555584,
1971698194171286006,Fri Sep 26 22:07:36 +0000 2025,2,Pagi pagi ngakak gara gara acara kuis yang dibawakan mas Surya insomnia. Masa ilmu yang mempelajari tentang jamur disebut miss you. Harusnya jawabannya mikologi ,1971698194171286006,,,in,,0,1,0,https://x.com/undefined/status/1971698194171286006,1147597667087728642,
1971695001186042063,Fri Sep 26 21:54:55 +0000 2025,0,dek ini kalo di svt udah dijadiin bahan insomnia zero,1971695001186042063,,,in,,0,0,0,https://x.com/undefined/status/1971695001186042063,1916828712609447936,
1971361079520526541,Fri Sep 26 21:20:08 +0000 2025,0,@dialogsenja__ Awalnya sering sakit bulak balik dr anti body drop. Sampai dr curiga dn blang kmu mikirn apa? Bnyk masalah dok jwbku insomnia juga. Lalu dirujuk ke poli jiwa ternyata burn out parah dan anxiety.,1971686248613060973,,dialogsenja__,in,,0,0,0,https://x.com/undefined/status/1971686248613060973,998720019168047104,
1971677290427031930,Fri Sep 26 20:44:32 +0000 2025,0,takkan tetiba insomnia lahhh pulakkk padehal tadi takde minum coffee pun but ada maybe from matcha tp mcm tak rasa sgt pun matcha dia dahtu malam semalamnya elok je tidur ,1971677290427031930,,,in,,0,0,0,https://x.com/undefined/status/1971677290427031930,395789035,
1971676024355410280,Fri Sep 26 20:39:30 +0000 2025,0,Insomnia menyiksa bgt kalo ada kelas pagi ,1971676024355410280,,,in,,0,0,0,https://x.com/undefined/status/1971676024355410280,1574496362783440896,
